CancerType,WSI-ID,NumNucleiSample,SizeOfNuclei-Average,SizeOfNuclei-Stddev,Note,SegmentationUnacceptableOrNot,VisualAssessmentComment
blca,TCGA-BL-A13J-01Z-00-DX2.289B5C8E-56AF-440D-A844-36BD98B573AF.svs,97478,683.5359261,727.4828316,few-nuclei,0,
blca,TCGA-BL-A3JM-01Z-00-DX1.33E53972-CEA4-4D84-A5D2-7DAD7B0C27F8.svs,96662,553.9403799,491.5173304,few-nuclei,0,
blca,TCGA-C4-A0F6-01Z-00-DX1.05FAB26A-4BE9-42B4-95F0-6BD15EBE8792.svs,99790,652.2221465,472.8696109,few-nuclei,0,
blca,TCGA-G2-AA3D-01Z-00-DX1.8C31FE8D-13F9-49FF-A4FB-2D004B109394.svs,86768,270.3128918,274.3242043,few-nuclei,0,
blca,TCGA-2F-A9KT-01Z-00-DX2.A06896B2-FC9A-430D-8F59-C89EEA002C8B.svs,2846922,518.3303895,404.5367323,too-many-nuclei,0,
blca,TCGA-BT-A20U-01Z-00-DX1.C2FDF7E9-3391-44E8-9E84-C5EA8EB4AB4C.svs,2859604,338.278256,246.3491394,too-many-nuclei,0,False segmentation on slide boundary
blca,TCGA-FD-A62S-01Z-00-DX1.B35DA29A-6F19-4663-9DB2-AB57DAFC84A7.svs,2987104,406.8242863,371.3059379,too-many-nuclei,0,False segmentation on slide boundary
blca,TCGA-G2-A2EL-01Z-00-DX2.2E59E1ED-C518-46EC-B60A-B083BA3A77C7.svs,2908870,462.5633686,541.3852535,too-many-nuclei,1,Tissue squashed?
blca,TCGA-E7-A6MF-01Z-00-DX1.2B0C8CBF-3244-4D17-B9CA-3CBE000BEC29.svs,1429683,262.3652124,156.4930127,small-nuclei,0,
blca,TCGA-GV-A40G-01Z-00-DX1.AD1A709F-A10C-4E69-B4ED-6361777361FD.svs,459765,241.9094472,378.4117408,small-nuclei,0,
blca,TCGA-UY-A8OD-01Z-00-DX1.3985C497-D586-4AB9-A635-63A7946C5A2E.svs,778821,266.6073385,289.4127322,small-nuclei,0,False segmentation in marker regions
blca,TCGA-5N-A9KI-01Z-00-DX1.1BAE5EFF-859F-4D0A-8DDC-527E2901F7D4.svs,1394612,708.2716003,633.0929522,huge-nuclei,0,
blca,TCGA-5N-A9KM-01Z-00-DX1.5197F750-D17F-459B-B74D-846F5F50F7B7.svs,352682,722.4328545,689.8147982,huge-nuclei,0,
blca,TCGA-BL-A13J-01Z-00-DX1.F2AFDD81-C88A-45EA-AC10-D9B38E878019.svs,268328,711.4205525,644.8575882,huge-nuclei,0,Bad segmentation in the center tissue fragment
blca,TCGA-E7-A7PW-01Z-00-DX1.27B92FC6-D50C-4816-A2C2-35E73D379DDD.svs,2355350,732.1227571,567.4805914,huge-nuclei,0,
blca,TCGA-CF-A8HX-01Z-00-DX1.92B22756-3D98-4DE6-A077-36C9F1AF1EC2.svs,1149472,270.4183181,175.9739028,small-variation,0,
blca,TCGA-XF-AAMQ-01Z-00-DX1.E8D304A9-4BD0-4C62-8B01-4C00994F8EE9.svs,771137,312.3013161,194.1049122,small-variation,0,
blca,TCGA-XF-AAN1-01Z-00-DX1.F6F0E65A-0D01-4C00-AEAC-359D52C802BF.svs,1343391,335.1626109,192.1149426,small-variation,0,
blca,TCGA-HQ-A5NE-01Z-00-DX1.8046B606-085B-406F-A8D7-92A3E021020A.svs,239394,687.5485726,676.8932528,huge-variation,0,
blca,TCGA-XF-A9T6-01Z-00-DX1.57AE17FC-DB4C-4D2B-A53F-A259E8482064.svs,2154648,441.7657088,824.3784978,huge-variation,0,Bad segmentation in the bottom tissue fragment
brca,TCGA-A7-A0CD-01Z-00-DX2.609CED8D-5947-4753-A75B-73A8343B47EC.svs,20723,311.2050861,445.5428271,few-nuclei,0,Very limited amount of tissue
brca,TCGA-A7-A5ZX-01Z-00-DX2.02F586FE-4775-480B-8035-D6AD3386F45D.svs,30345,331.3731092,381.4882353,few-nuclei,0,Very limited amount of tissue
brca,TCGA-A7-A6VX-01Z-00-DX2.9EE94B59-6A2C-4507-AA4F-DC6402F2B74F.svs,32555,446.3723238,530.4696306,few-nuclei,0,
brca,TCGA-A8-A08R-01Z-00-DX1.72FBD9A3-5EB9-4855-89EB-697883C2EA9B.svs,51442,938.7124917,794.3309497,few-nuclei,0,limited amount of tissue
brca,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.svs,64855,737.1591088,744.2614065,few-nuclei,0,
brca,TCGA-AC-A23C-01Z-00-DX1.0E67C785-83D3-49AF-B600-FB5B909AE6ED.svs,65365,344.8782835,287.3622196,few-nuclei,0,
brca,TCGA-AC-A23G-01Z-00-DX1.2F0326F7-6B77-4B3F-B4FA-59ADB785AA07.svs,37706,379.9147881,305.9487181,few-nuclei,0,
brca,TCGA-AC-A2FG-01Z-00-DX1.0F13DE40-9F7A-42C6-AB3D-02E8521B690A.svs,45135,367.4414313,354.0783068,few-nuclei,0,
brca,TCGA-AC-A2FO-01Z-00-DX1.46929316-D7ED-4D69-B068-409BFFBCEC4D.svs,58021,335.0568415,281.5855348,few-nuclei,0,
brca,TCGA-AC-A3W5-01Z-00-DX1.522F702C-776E-45F1-84D3-1648DF04137C.svs,28781,424.7909037,359.9727495,few-nuclei,0,
brca,TCGA-AC-A3W7-01Z-00-DX1.189BB448-ECBA-4042-8A35-4B787271E8FE.svs,52241,425.7598438,309.2455863,few-nuclei,0,
brca,TCGA-AC-A8OR-01Z-00-DX1.C9A35592-1E73-40D4-834A-46E3471D84A3.svs,55233,499.7039089,850.7440318,few-nuclei,0,Image very purple-ish
brca,TCGA-PL-A8LV-01A-01-DX1.88F3D934-96C2-4652-9450-90F2E302FF6D.svs,47226,519.9424046,637.1121567,few-nuclei,?,Image not found on osprey
brca,TCGA-PL-A8LY-01A-01-DX1.32047D5E-8A42-480A-B2B8-A56B47B949FD.svs,57732,520.893404,657.7936722,few-nuclei,1,Clumps; irregular nuclei
brca,TCGA-PL-A8LZ-01A-01-DX1.B9F233EE-06DD-4C14-A392-D2937C7C0868.svs,42262,775.3958166,1428.231321,few-nuclei,?,Image not found on osprey
brca,TCGA-A2-A0CK-01Z-00-DX1.C3226BD1-11B0-4034-946A-BAB42958CE85.svs,232832,287.6237588,484.6387643,small-nuclei,0,Segmentation quality not great either
brca,TCGA-AR-A0TX-01Z-00-DX1.5BEA4E65-8CEC-49B2-9F29-DBE53E8ED46E.svs,327420,233.5252856,285.3878098,small-nuclei,?,Segmentation not uploaded
brca,TCGA-C8-A8HR-01Z-00-DX1.8E841CA8-1CE2-4242-AC5A-3247075CF8F4.svs,420308,277.4574907,249.1228492,small-nuclei,0,
